,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
389,"She believed that SAOM head, Dr Sam Motsuenyane had probably based his findings on the guidelines.",his findings,other_attitude,low,,,,
390,"They were turned away in twenties, thirties and fifties.""","They were turned away in twenties, thirties and fifties",sentiment,medium,negative,,,X
391,"Even local observers could not enter these stations,"" she said.",Even local observers could not enter these stations,sentiment,low,negative,,,
392,"Under these circumstances nobody can feel free.""",can feel free,sentiment,medium,positive,,,
393,"On the spurious grounds that the Zimbabwe African National Union-Patriotic Front (Zanu-PF) election campaign centre was in an adjoining building, the Commonwealth observers moved out to the privately owned Meikles Hotel.",spurious,sentiment,medium,negative,,,
394,"The Commonwealth leaders, many of them in the first place unable to understand the dispute between Zimbabwe and its former coloniser, Britain, breathed a collective sigh of relief at what they hoped was the beginning of the healing process.",breathed a collective sigh of relief,sentiment,low-medium,negative,,,
395,"And, in line with Commonwealth consensus, the views of the majority are taken to be the views of the Commonwealth as a whole.",views,arguing,low,positive,,,
396,"The final straw that confirmed that Australia had abandoned any pretence of fairness to all sides in the dispute came when the Australian Prime Minister, John Howard, ordered his High Commissioner in Harare not to attend Sunday's inauguration of Robert Mugabe as President of Zimbabwe.",had abandoned any pretence of fairness to all sides in the dispute,sentiment,medium,negative,,,
397,"And, in line with Commonwealth consensus, the views of the majority are taken to be the views of the Commonwealth as a whole.",views,arguing,low,positive,,,
398,"The Commonwealth leaders, many of them in the first place unable to understand the dispute between Zimbabwe and its former coloniser, Britain, breathed a collective sigh of relief at what they hoped was the beginning of the healing process.",dispute,sentiment,medium-high,negative,,,
399,"The final straw that confirmed that Australia had abandoned any pretence of fairness to all sides in the dispute came when the Australian Prime Minister, John Howard, ordered his High Commissioner in Harare not to attend Sunday's inauguration of Robert Mugabe as President of Zimbabwe.",dispute,sentiment,high,negative,,,
400,There was also the curious appointment of and behaviour by individual members of the Commonwealth mission who should have been sworn to secrecy as part of their mission and who should have expressed their views only through the chair of the mission.,expressed their views,arguing,low,positive,,,
401,"But the solution to the present impasse lies with the people of Zimbabwe and Africa, not with the people of Britain and Europe.",the present impasse,sentiment,medium-high,negative,,,
402,"Blair's second faux pas in Australia, according to some of the assembled Commonwealth leaders, came in his response to a remarkably conciliatory speech by Zimbabwe's Foreign Minister, Dr Stan Mudenge.",conciliatory speech,sentiment,medium-high,positive,,,
403,No doubt Blair will fight on.,will fight on,intention,medium-high,positive,,,
404,The confusion was widespread throughout his party.,confusion,other_attitude,low,,,,
405,"Although Mr. Tsvangirai said the people were ""seething with 
anger,"" Mr. Tsvangirai ruled out open rebellion.","seething with 
anger",sentiment,high-extreme,negative,,,
406,"""Ahh, this country is going to the dogs.",this country is going to the dogs,sentiment,high,negative,,,
407,"""We expected we were going to win this election,"" admitted Hilda 
Mafudze, an MDC member of Parliament who had been threatened by 
Mr. Mugabe's toughs and prevented from campaigning in her home 
riding south of Harare.",expected we were going to win this election,sentiment,low,positive,,,X
408,"He 
said the result ""does not reflect the true will of the people of 
Zimbabwe.""",will,other_attitude,medium,,,,
409,"""We expected we were going to win this election,"" admitted Hilda 
Mafudze, an MDC member of Parliament who had been threatened by 
Mr. Mugabe's toughs and prevented from campaigning in her home 
riding south of Harare.",Mr. Mugabe's toughs,sentiment,medium,negative,,,
410,"Although Mr. Tsvangirai said the people were ""seething with 
anger,"" Mr. Tsvangirai ruled out open rebellion.","were ""seething with 
anger",sentiment,low-medium,negative,,,
411,But we are scared.,are scared,sentiment,medium-high,negative,,,
412,"We 
are not going to go out on to the streets,"" he said, looking 
nervously over to where triumphant activists from Mr. Mugabe's 
Zimbabwe African People's Union - Patriotic Front had ripped up 
stacks of a pro-opposition newspaper.","looking 
nervously",sentiment,medium,negative,,X,
